  x,y,z,rho,u,v,w,p
   -10.080000,      0.000000,      0.000000,      0.911771,      2.381045,    235.927338,      0.000000,  71293.460938
   -10.078467,      0.175916,      0.000000,      0.911196,      4.633854,    236.353943,      0.000000,  71233.554688
   -10.073861,      0.351782,      0.000000,      0.909643,      8.269669,    237.010223,      0.000000,  71067.367188
   -10.066191,      0.527547,      0.000000,      0.907640,     12.329833,    237.534378,      0.000000,  70852.492188
   -10.055446,      0.703141,      0.000000,      0.906220,     16.548368,    237.770126,      0.000000,  70701.367188
   -10.041646,      0.878532,      0.000000,      0.905286,     20.765400,    237.788559,      0.000000,  70603.468750
   -10.024782,      1.053642,      0.000000,      0.904552,     24.950630,    237.657166,      0.000000,  70527.281250
   -10.004864,      1.228440,      0.000000,      0.903941,     29.119408,    237.400803,      0.000000,  70464.523438
    -9.981902,      1.402864,      0.000000,      0.903409,     33.280708,    237.028503,      0.000000,  70410.453125
    -9.955894,      1.576855,      0.000000,      0.902967,     37.433674,    236.547363,      0.000000,  70366.218750
    -9.926865,      1.750372,      0.000000,      0.902586,     41.575497,    235.965958,      0.000000,  70328.648438
    -9.894800,      1.923355,      0.000000,      0.902254,     45.704845,    235.288849,      0.000000,  70296.539062
    -9.859732,      2.095753,      0.000000,      0.901968,     49.819405,    234.519485,      0.000000,  70269.242188
    -9.821650,      2.267506,      0.000000,      0.901716,     53.916546,    233.659958,      0.000000,  70245.757812
    -9.780583,      2.438574,      0.000000,      0.901508,     57.994194,    232.714813,      0.000000,  70227.054688
    -9.736534,      2.608896,      0.000000,      0.901315,     62.051632,    231.686249,      0.000000,  70210.023438
    -9.689521,      2.778421,      0.000000,      0.901157,     66.088631,    230.575195,      0.000000,  70196.835938
    -9.639555,      2.947109,      0.000000,      0.901005,     70.101814,    229.379395,      0.000000,  70184.257812
    -9.586644,      3.114891,      0.000000,      0.900904,     74.085732,    228.098389,      0.000000,  70177.203125
    -9.530831,      3.281725,      0.000000,      0.900836,     78.042290,    226.740158,      0.000000,  70173.742188
    -9.472105,      3.447562,      0.000000,      0.900752,     81.970879,    225.296829,      0.000000,  70168.703125
    -9.410487,      3.612349,      0.000000,      0.900738,     85.863579,    223.762329,      0.000000,  70171.203125
    -9.346015,      3.776038,      0.000000,      0.900769,     89.718773,    222.142822,      0.000000,  70178.585938
    -9.278691,      3.938569,      0.000000,      0.900820,     93.533615,    220.430054,      0.000000,  70188.078125
    -9.208534,      4.099909,      0.000000,      0.900953,     97.300018,    218.616928,      0.000000,  70206.617188
    -9.135585,      4.259990,      0.000000,      0.901156,    101.011078,    216.701935,      0.000000,  70232.804688
    -9.059843,      4.418780,      0.000000,      0.901449,    104.660797,    214.677933,      0.000000,  70268.867188
    -8.981351,      4.576229,      0.000000,      0.901847,    108.242516,    212.535156,      0.000000,  70316.414062
    -8.900116,      4.732277,      0.000000,      0.902367,    111.743347,    210.255219,      0.000000,  70377.242188
    -8.816169,      4.886885,      0.000000,      0.903073,    115.141312,    207.817322,      0.000000,  70458.507812
    -8.729532,      5.040000,      0.000000,      0.904017,    118.410721,    205.202393,      0.000000,  70565.898438
    -8.640243,      5.191583,      0.000000,      0.905250,    121.522049,    202.384003,      0.000000,  70705.140625
    -8.548324,      5.341584,      0.000000,      0.906843,    124.438110,    199.318176,      0.000000,  70884.054688
    -8.453804,      5.489961,      0.000000,      0.908903,    127.105972,    195.935135,      0.000000,  71114.875000
    -8.356703,      5.636665,      0.000000,      0.911531,    129.400650,    192.129944,      0.000000,  71409.421875
    -8.257051,      5.781646,      0.000000,      0.915068,    131.087830,    187.752258,      0.000000,  71806.765625
    -8.154891,      5.924873,      0.000000,      0.920402,    132.218140,    182.529892,      0.000000,  72409.703125
    -8.050251,      6.066295,      0.000000,      0.926516,    132.596741,    175.997482,      0.000000,  73118.054688
    -7.943151,      6.205863,      0.000000,      0.926618,    126.343430,    167.167831,      0.000000,  73209.968750
    -7.833632,      6.343546,      0.000000,      0.962057,    112.875206,    163.866821,      0.000000,  77291.554688
    -7.745303,      6.499079,      0.000000,      0.986823,    106.678726,    173.454437,      0.000000,  80154.671875
    -7.653860,      6.653402,      0.000000,      0.953439,    111.448647,    186.452942,      0.000000,  76462.484375
    -7.559257,      6.806384,      0.000000,      0.921955,    120.511139,    193.634537,      0.000000,  72985.406250
    -7.461453,      6.957918,      0.000000,      0.903838,    129.272263,    196.785538,      0.000000,  71002.164062
    -7.360423,      7.107875,      0.000000,      0.891456,    136.959595,    198.834641,      0.000000,  69657.507812
    -7.256116,      7.256116,      0.000000,      0.879846,    144.233429,    200.567520,      0.000000,  68404.117188
    -7.148536,      7.402524,      0.000000,      0.868307,    151.533432,    201.853302,      0.000000,  67164.726562
    -7.037652,      7.546959,      0.000000,      0.857130,    158.934937,    202.615738,      0.000000,  65970.671875
    -6.923455,      7.689283,      0.000000,      0.846381,    166.414185,    202.923386,      0.000000,  64828.546875
    -6.805958,      7.829359,      0.000000,      0.835851,    173.973328,    202.855759,      0.000000,  63715.433594
    -6.685152,      7.967047,      0.000000,      0.825390,    181.636093,    202.450027,      0.000000,  62615.394531
    -6.561057,      8.102230,      0.000000,      0.814883,    189.417099,    201.716354,      0.000000,  61516.207031
    -6.433684,      8.234740,      0.000000,      0.804312,    197.316849,    200.658722,      0.000000,  60416.132812
    -6.303083,      8.364468,      0.000000,      0.793658,    205.339737,    199.286148,      0.000000,  59313.226562
    -6.169265,      8.491266,      0.000000,      0.782819,    213.484695,    197.595978,      0.000000,  58197.183594
    -6.032281,      8.614998,      0.000000,      0.771850,    221.741196,    195.583511,      0.000000,  57073.960938
    -5.892191,      8.735542,      0.000000,      0.760703,    230.101913,    193.249588,      0.000000,  55938.910156
    -5.749044,      8.852752,      0.000000,      0.749376,    238.557281,    190.589508,      0.000000,  54792.152344
    -5.602910,      8.966529,      0.000000,      0.737873,    247.100998,    187.599747,      0.000000,  53634.460938
    -5.453851,      9.076735,      0.000000,      0.726147,    255.720856,    184.271149,      0.000000,  52461.433594
    -5.301954,      9.183252,      0.000000,      0.714259,    264.395721,    180.597748,      0.000000,  51279.566406
    -5.147300,      9.285982,      0.000000,      0.702205,    273.116425,    176.580109,      0.000000,  50088.945312
    -4.989988,      9.384805,      0.000000,      0.689947,    281.869812,    172.209686,      0.000000,  48886.046875
    -4.830108,      9.479611,      0.000000,      0.677534,    290.629211,    167.478287,      0.000000,  47676.281250
    -4.667759,      9.570325,      0.000000,      0.665012,    299.376221,    162.389481,      0.000000,  46464.335938
    -4.503059,      9.656847,      0.000000,      0.652341,    308.093506,    156.943298,      0.000000,  45246.773438
    -4.336118,      9.739086,      0.000000,      0.639577,    316.761017,    151.138229,      0.000000,  44029.378906
    -4.167066,      9.816984,      0.000000,      0.626717,    325.366119,    144.975922,      0.000000,  42812.003906
    -3.995999,      9.890453,      0.000000,      0.613750,    333.882507,    138.452301,      0.000000,  41594.011719
    -3.823069,      9.959434,      0.000000,      0.600777,    342.279541,    131.575562,      0.000000,  40385.117188
    -3.648393,     10.023885,      0.000000,      0.587791,    350.543793,    124.359032,      0.000000,  39184.890625
    -3.472110,     10.083748,      0.000000,      0.574778,    358.657410,    116.805893,      0.000000,  37992.105469
    -3.294359,     10.138983,      0.000000,      0.561797,    366.596344,    108.922768,      0.000000,  36812.335938
    -3.115268,     10.189570,      0.000000,      0.548866,    374.341003,    100.723564,      0.000000,  35647.191406
    -2.934976,     10.235478,      0.000000,      0.536001,    381.872650,     92.221313,      0.000000,  34498.296875
    -2.753632,     10.276700,      0.000000,      0.523236,    389.176147,     83.430229,      0.000000,  33368.437500
    -2.571373,     10.313224,      0.000000,      0.510563,    396.234283,     74.363083,      0.000000,  32256.955078
    -2.388340,     10.345048,      0.000000,      0.498038,    403.027222,     65.036575,      0.000000,  31168.591797
    -2.204680,     10.372194,      0.000000,      0.485673,    409.540253,     55.472996,      0.000000,  30104.191406
    -2.020522,     10.394669,      0.000000,      0.473490,    415.760742,     45.691193,      0.000000,  29065.236328
    -1.836004,     10.412514,      0.000000,      0.461505,    421.680695,     35.711212,      0.000000,  28053.027344
