  x,y,z,rho,u,v,w,p
   -10.000000,      0.080000,      0.000000,      0.741821,    314.516174,     -0.042017,      0.000000,  53411.476562
    -9.273458,      0.080000,      0.000000,      0.741308,    314.766174,     -0.031866,      0.000000,  53359.929688
    -8.562617,      0.080000,      0.000000,      0.740243,    315.253632,     -0.019628,      0.000000,  53252.777344
    -7.868043,      0.080000,      0.000000,      0.738648,    315.955292,     -0.009415,      0.000000,  53092.421875
    -7.190316,      0.080000,      0.000000,      0.736613,    316.852966,     -0.000781,      0.000000,  52888.140625
    -6.530121,      0.080000,      0.000000,      0.734127,    317.930359,     -0.007338,      0.000000,  52638.871094
    -5.888193,      0.080000,      0.000000,      0.731220,    319.166107,      0.001921,      0.000000,  52347.820312
    -5.265356,      0.080000,      0.000000,      0.728039,    320.578156,     -0.001819,      0.000000,  52029.941406
    -4.662569,      0.080000,      0.000000,      0.724168,    322.088257,     -0.050732,      0.000000,  51643.972656
    -4.080891,      0.080000,      0.000000,      0.720378,    323.769379,      0.129262,      0.000000,  51267.085938
    -3.521577,      0.080599,      0.000000,      0.716070,    326.130066,      0.378211,      0.000000,  50840.804688
    -2.986087,      0.080986,      0.000000,      0.709111,    329.130707,     -0.056178,      0.000000,  50152.703125
    -2.476174,      0.080830,      0.000000,      0.700430,    331.930756,     -0.017330,      0.000000,  49294.906250
    -1.993986,      0.080012,      0.000000,      0.696201,    336.713074,     -1.001443,      0.000000,  48887.914062
    -1.542227,      0.079588,      0.000000,      0.675861,    340.471924,     -2.579861,      0.000000,  46918.273438
    -1.124435,      0.076670,      0.000000,      0.672776,    347.901276,      1.661904,      0.000000,  46544.183594
    -0.745565,      0.082101,      0.000000,      0.629100,    376.831055,     -6.301607,      0.000000,  42620.480469
    -0.413131,      0.053829,      0.000000,      0.471336,    420.445251,    -55.278679,      0.000000,  29252.892578
    -0.140662,     -0.017147,      0.000000,      0.316401,    454.964172,   -145.087646,      0.000000,  17053.189453
     0.030303,     -0.096990,      0.000000,      0.209098,    467.733734,   -242.681351,      0.000000,   9639.761719
     0.207859,     -0.218615,      0.000000,      0.140181,    441.497803,   -360.218048,      0.000000,   5318.597168
     0.442601,     -0.412230,      0.000000,      0.128784,    398.292358,   -437.369263,      0.000000,   4464.381836
