  x,y,z,rho,u,v,w,p
     0.000000,      0.133333,      0.000000,      1.046793,    156.412674,      0.070379,      0.000000,  86500.984375
     0.151520,      0.133333,      0.000000,      1.046803,    156.322098,      0.085730,      0.000000,  86502.179688
     0.303030,      0.133333,      0.000000,      1.046933,    156.117889,      0.099822,      0.000000,  86517.187500
     0.454550,      0.133333,      0.000000,      1.047271,    155.781097,      0.105831,      0.000000,  86556.375000
     0.606060,      0.133333,      0.000000,      1.047798,    155.308060,      0.116533,      0.000000,  86617.492188
     0.757580,      0.133333,      0.000000,      1.048515,    154.681992,      0.137213,      0.000000,  86700.531250
     0.909090,      0.133333,      0.000000,      1.049445,    153.873566,      0.169689,      0.000000,  86808.437500
     1.060610,      0.133333,      0.000000,      1.050629,    152.840347,      0.217992,      0.000000,  86945.898438
     1.212120,      0.133333,      0.000000,      1.052119,    151.522034,      0.291056,      0.000000,  87119.140625
     1.363640,      0.133333,      0.000000,      1.053987,    149.829330,      0.407195,      0.000000,  87336.765625
     1.515150,      0.133333,      0.000000,      1.056340,    147.626389,      0.599747,      0.000000,  87611.710938
     1.666670,      0.133333,      0.000000,      1.059348,    144.723831,      0.922113,      0.000000,  87964.359375
     1.818180,      0.133333,      0.000000,      1.062959,    140.774033,      1.634836,      0.000000,  88390.296875
     1.969700,      0.133333,      0.000000,      1.068044,    135.485306,      3.597846,      0.000000,  88992.179688
     2.121210,      0.136688,      0.000000,      1.076479,    130.375748,      7.901804,      0.000000,  89989.554688
     2.272730,      0.150202,      0.000000,      1.083214,    128.010178,     14.566757,      0.000000,  90794.375000
     2.424240,      0.173576,      0.000000,      1.083367,    128.709152,     22.444765,      0.000000,  90832.851562
     2.575760,      0.205988,      0.000000,      1.079153,    131.497238,     30.368456,      0.000000,  90360.429688
     2.727270,      0.246250,      0.000000,      1.072100,    135.989075,     37.815960,      0.000000,  89558.171875
     2.878790,      0.292911,      0.000000,      1.062471,    142.145691,     44.644512,      0.000000,  88460.695312
     3.030300,      0.344279,      0.000000,      1.050077,    150.016312,     50.722015,      0.000000,  87050.343750
     3.181820,      0.398519,      0.000000,      1.034671,    159.648209,     55.818130,      0.000000,  85303.593750
     3.333330,      0.453648,      0.000000,      1.016068,    171.040756,     59.608849,      0.000000,  83205.179688
     3.484850,      0.507685,      0.000000,      0.994217,    184.102036,     61.694416,      0.000000,  80756.515625
     3.636360,      0.558667,      0.000000,      0.969276,    198.583282,     61.620129,      0.000000,  77983.046875
     3.787880,      0.604757,      0.000000,      0.941815,    213.995941,     58.913776,      0.000000,  74956.117188
     3.939390,      0.644294,      0.000000,      0.912986,    229.525330,     53.152576,      0.000000,  71809.273438
     4.090910,      0.675846,      0.000000,      0.884754,    243.948334,     44.066811,      0.000000,  68759.054688
     4.242420,      0.698273,      0.000000,      0.859995,    255.624893,     31.680391,      0.000000,  66113.015625
     4.393940,      0.710762,      0.000000,      0.842239,    262.658752,     16.473061,      0.000000,  64241.484375
     4.545450,      0.712860,      0.000000,      0.834881,    263.383057,     -0.492443,      0.000000,  63499.265625
     4.696970,      0.704498,      0.000000,      0.839718,    257.139038,    -17.597572,      0.000000,  64077.238281
     4.848480,      0.685967,      0.000000,      0.855822,    244.839600,    -33.000412,      0.000000,  65882.593750
     5.000000,      0.657953,      0.000000,      0.879707,    228.671097,    -45.208904,      0.000000,  68549.554688
     5.151520,      0.621452,      0.000000,      0.907008,    211.034775,    -53.524925,      0.000000,  71612.648438
     5.303030,      0.577787,      0.000000,      0.934316,    193.717529,    -58.043930,      0.000000,  74700.796875
     5.454550,      0.528545,      0.000000,      0.959655,    177.745651,    -59.333923,      0.000000,  77591.789062
     5.606060,      0.475504,      0.000000,      0.982162,    163.592957,    -58.097260,      0.000000,  80181.820312
     5.757580,      0.420569,      0.000000,      1.001616,    151.428284,    -54.976109,      0.000000,  82437.632812
     5.909090,      0.365739,      0.000000,      1.018058,    141.271545,    -50.492451,      0.000000,  84356.570312
     6.060610,      0.312988,      0.000000,      1.031641,    133.063583,    -45.049080,      0.000000,  85950.562500
     6.212120,      0.264230,      0.000000,      1.042581,    126.722267,    -38.944813,      0.000000,  87240.546875
     6.363640,      0.221223,      0.000000,      1.051069,    122.186867,    -32.394848,      0.000000,  88245.734375
     6.515150,      0.185514,      0.000000,      1.057239,    119.457474,    -25.551821,      0.000000,  88980.640625
     6.666670,      0.158409,      0.000000,      1.061108,    118.633568,    -18.532526,      0.000000,  89446.656250
     6.818180,      0.140873,      0.000000,      1.062791,    120.042130,    -11.620642,      0.000000,  89657.023438
     6.969700,      0.133546,      0.000000,      1.061364,    124.118637,     -5.638844,      0.000000,  89501.703125
     7.121210,      0.133333,      0.000000,      1.054272,    129.702286,     -1.648657,      0.000000,  88674.921875
     7.272730,      0.133333,      0.000000,      1.045616,    134.315781,      0.087600,      0.000000,  87658.546875
     7.424240,      0.133333,      0.000000,      1.040535,    137.245300,      0.390383,      0.000000,  87060.640625
     7.575760,      0.133333,      0.000000,      1.037606,    139.289688,      0.264236,      0.000000,  86715.398438
     7.727270,      0.133333,      0.000000,      1.035488,    140.898132,      0.149809,      0.000000,  86465.273438
     7.878790,      0.133333,      0.000000,      1.033749,    142.219589,      0.092087,      0.000000,  86259.648438
