  x,y,z,rho,u,v,w,p
     0.000000,      0.150000,      0.000000,      1.053685,    151.484833,      0.020626,      0.000000,  87299.453125
     0.169490,      0.150000,      0.000000,      1.053678,    151.452866,      0.024597,      0.000000,  87298.625000
     0.338980,      0.150000,      0.000000,      1.053703,    151.383301,      0.027973,      0.000000,  87301.562500
     0.508470,      0.150000,      0.000000,      1.053793,    151.271835,      0.029151,      0.000000,  87311.976562
     0.677970,      0.150000,      0.000000,      1.053938,    151.117859,      0.031840,      0.000000,  87328.781250
     0.847460,      0.150000,      0.000000,      1.054135,    150.916306,      0.037331,      0.000000,  87351.695312
     1.016950,      0.150000,      0.000000,      1.054391,    150.657883,      0.045725,      0.000000,  87381.453125
     1.186440,      0.150000,      0.000000,      1.054718,    150.329483,      0.057244,      0.000000,  87419.437500
     1.355930,      0.150000,      0.000000,      1.055132,    149.913925,      0.072633,      0.000000,  87467.492188
     1.525420,      0.150000,      0.000000,      1.055651,    149.388550,      0.093252,      0.000000,  87527.960938
     1.694920,      0.150000,      0.000000,      1.056302,    148.723068,      0.121221,      0.000000,  87603.875000
     1.864410,      0.150000,      0.000000,      1.057117,    147.876480,      0.160041,      0.000000,  87699.046875
     2.033900,      0.150000,      0.000000,      1.058138,    146.792313,      0.215762,      0.000000,  87818.429688
     2.203390,      0.150000,      0.000000,      1.059421,    145.392792,      0.295231,      0.000000,  87969.125000
     2.372880,      0.150000,      0.000000,      1.061056,    143.577286,      0.394170,      0.000000,  88162.148438
     2.542370,      0.150000,      0.000000,      1.063108,    141.212341,      0.511514,      0.000000,  88406.867188
     2.711860,      0.150000,      0.000000,      1.065203,    137.951920,      0.883670,      0.000000,  88663.335938
     2.881360,      0.150000,      0.000000,      1.066925,    133.001343,      2.513835,      0.000000,  88888.109375
     3.050850,      0.150760,      0.000000,      1.073829,    126.996864,      6.994366,      0.000000,  89731.585938
     3.220340,      0.164079,      0.000000,      1.085120,    123.147423,     14.838474,      0.000000,  91101.265625
