  x,y,z,rho,u,v,w,p
     0.000000,      0.150000,      0.000000,      1.034878,    164.649796,      0.341633,      0.000000,  85136.468750
     0.169490,      0.150000,      0.000000,      1.034872,    164.653366,      0.050151,      0.000000,  85125.031250
     0.338980,      0.150000,      0.000000,      1.034988,    164.602127,      0.082496,      0.000000,  85138.226562
     0.508470,      0.150000,      0.000000,      1.035103,    164.516235,      0.105931,      0.000000,  85152.085938
     0.677970,      0.150000,      0.000000,      1.035342,    164.389023,      0.136393,      0.000000,  85178.796875
     0.847460,      0.150000,      0.000000,      1.035586,    164.216599,      0.163455,      0.000000,  85207.429688
     1.016950,      0.150000,      0.000000,      1.035954,    163.996063,      0.210424,      0.000000,  85249.812500
     1.186440,      0.150000,      0.000000,      1.036371,    163.704849,      0.258059,      0.000000,  85297.898438
     1.355930,      0.150000,      0.000000,      1.036935,    163.344315,      0.328919,      0.000000,  85362.515625
     1.525420,      0.150000,      0.000000,      1.037599,    162.870728,      0.400975,      0.000000,  85439.921875
     1.694920,      0.150000,      0.000000,      1.038492,    162.283493,      0.509786,      0.000000,  85541.914062
     1.864410,      0.150000,      0.000000,      1.039575,    161.502670,      0.620935,      0.000000,  85667.710938
     2.033900,      0.150000,      0.000000,      1.041037,    160.519424,      0.807503,      0.000000,  85835.960938
     2.203390,      0.150000,      0.000000,      1.042871,    159.196304,      1.000212,      0.000000,  86047.968750
     2.372880,      0.150000,      0.000000,      1.045411,    157.436768,      1.357870,      0.000000,  86341.414062
     2.542370,      0.150000,      0.000000,      1.048746,    155.013229,      1.783906,      0.000000,  86726.976562
     2.711860,      0.150000,      0.000000,      1.053812,    151.375183,      2.717594,      0.000000,  87312.867188
     2.881360,      0.150000,      0.000000,      1.061044,    145.890289,      4.357798,      0.000000,  88152.109375
     3.050850,      0.150760,      0.000000,      1.075204,    134.972610,      8.788191,      0.000000,  89787.906250
     3.220340,      0.164079,      0.000000,      1.080143,    130.659912,     17.598949,      0.000000,  90354.945312
     3.389830,      0.193149,      0.000000,      1.075975,    132.206314,     27.543077,      0.000000,  89865.750000
     3.559320,      0.235918,      0.000000,      1.066421,    137.518402,     37.424652,      0.000000,  88760.218750
     3.728810,      0.289365,      0.000000,      1.050488,    146.678452,     46.707741,      0.000000,  86917.734375
     3.898310,      0.349719,      0.000000,      1.028930,    159.545120,     54.580120,      0.000000,  84445.226562
     4.067800,      0.412741,      0.000000,      1.000072,    176.617020,     60.373951,      0.000000,  81157.585938
     4.237290,      0.473988,      0.000000,      0.964547,    197.648743,     62.859715,      0.000000,  77152.679688
     4.406780,      0.529135,      0.000000,      0.921775,    222.295288,     60.863735,      0.000000,  72397.546875
     4.576270,      0.574308,      0.000000,      0.875064,    248.614914,     53.101891,      0.000000,  67292.125000
     4.745760,      0.606313,      0.000000,      0.828944,    273.432220,     38.950447,      0.000000,  62359.941406
     4.915250,      0.622900,      0.000000,      0.796673,    290.141876,     19.128117,      0.000000,  58987.933594
     5.084750,      0.622900,      0.000000,      0.795096,    290.513214,     -3.258545,      0.000000,  58876.410156
     5.254240,      0.606313,      0.000000,      0.827097,    273.495636,    -23.367256,      0.000000,  62316.507812
     5.423730,      0.574308,      0.000000,      0.871994,    248.655258,    -37.569607,      0.000000,  67211.937500
     5.593220,      0.529135,      0.000000,      0.918611,    222.120560,    -45.098091,      0.000000,  72373.250000
     5.762710,      0.473988,      0.000000,      0.960699,    197.530060,    -46.634674,      0.000000,  77096.757812
     5.932200,      0.412741,      0.000000,      0.996602,    176.483856,    -43.500923,      0.000000,  81148.382812
     6.101700,      0.349719,      0.000000,      1.025277,    159.592926,    -37.131966,      0.000000,  84393.882812
     6.271190,      0.289365,      0.000000,      1.047589,    146.801376,    -28.746065,      0.000000,  86904.851562
     6.440680,      0.235918,      0.000000,      1.063489,    137.822479,    -19.418282,      0.000000,  88678.101562
     6.610170,      0.193149,      0.000000,      1.074069,    132.459259,     -9.753821,      0.000000,  89828.609375
     6.779660,      0.164079,      0.000000,      1.078273,    130.988174,     -0.535304,      0.000000,  90248.843750
     6.949150,      0.150760,      0.000000,      1.074675,    134.993866,      7.400308,      0.000000,  89779.781250
     7.118640,      0.150000,      0.000000,      1.060558,    145.731720,     11.519786,      0.000000,  88124.406250
     7.288140,      0.150000,      0.000000,      1.052796,    151.254272,     12.010258,      0.000000,  87222.671875
     7.457630,      0.150000,      0.000000,      1.047944,    154.734711,     11.878642,      0.000000,  86666.140625
     7.627120,      0.150000,      0.000000,      1.044200,    157.202759,     11.318850,      0.000000,  86235.726562
     7.796610,      0.150000,      0.000000,      1.041847,    158.845490,     10.588770,      0.000000,  85970.679688
     7.966100,      0.150000,      0.000000,      1.039747,    160.180542,      9.877944,      0.000000,  85729.539062
     8.135590,      0.150000,      0.000000,      1.038437,    161.079254,      9.092509,      0.000000,  85584.593750
     8.305090,      0.150000,      0.000000,      1.037195,    161.862442,      8.395851,      0.000000,  85441.406250
     8.474580,      0.150000,      0.000000,      1.036399,    162.382965,      7.684560,      0.000000,  85356.429688
     8.644070,      0.150000,      0.000000,      1.035624,    162.875626,      7.051010,      0.000000,  85265.382812
     8.813560,      0.150000,      0.000000,      1.035126,    163.188950,      6.426133,      0.000000,  85213.328125
     8.983050,      0.150000,      0.000000,      1.034634,    163.503510,      5.857184,      0.000000,  85154.375000
     9.152540,      0.150000,      0.000000,      1.034305,    163.697189,      5.337348,      0.000000,  85121.945312
     9.322030,      0.150000,      0.000000,      1.033981,    163.914719,      4.856590,      0.000000,  85081.460938
     9.491530,      0.150000,      0.000000,      1.033741,    164.031738,      4.405982,      0.000000,  85058.929688
     9.661020,      0.150000,      0.000000,      1.033519,    164.199127,      3.991066,      0.000000,  85030.289062
     9.830510,      0.150000,      0.000000,      1.033535,    164.128799,      3.534336,      0.000000,  85038.296875
    10.000000,      0.150000,      0.000000,      1.028239,    164.356125,      3.280337,      0.000000,  84590.890625
     0.000000,      0.300000,      0.000000,      1.034801,    164.577164,      0.180168,      0.000000,  85123.882812
     0.169490,      0.300000,      0.000000,      1.034863,    164.684967,      0.017407,      0.000000,  85123.617188
     0.338980,      0.300000,      0.000000,      1.034933,    164.633118,      0.040636,      0.000000,  85131.976562
     0.508470,      0.300000,      0.000000,      1.035097,    164.545654,      0.063189,      0.000000,  85150.914062
     0.677970,      0.300000,      0.000000,      1.035275,    164.423279,      0.090784,      0.000000,  85171.359375
     0.847460,      0.300000,      0.000000,      1.035559,    164.256622,      0.123806,      0.000000,  85204.304688
     1.016950,      0.300000,      0.000000,      1.035871,    164.040222,      0.161874,      0.000000,  85240.148438
     1.186440,      0.300000,      0.000000,      1.036319,    163.763489,      0.213689,      0.000000,  85291.375000
     1.355930,      0.300000,      0.000000,      1.036823,    163.409302,      0.272215,      0.000000,  85349.492188
     1.525420,      0.300000,      0.000000,      1.037507,    162.962570,      0.354046,      0.000000,  85428.710938
     1.694920,      0.300000,      0.000000,      1.038320,    162.384613,      0.451931,      0.000000,  85522.671875
     1.864410,      0.300000,      0.000000,      1.039410,    161.657715,      0.591647,      0.000000,  85648.148438
     2.033900,      0.300000,      0.000000,      1.040748,    160.701675,      0.759230,      0.000000,  85803.007812
     2.203390,      0.300000,      0.000000,      1.042564,    159.470245,      1.022967,      0.000000,  86011.734375
     2.372880,      0.300000,      0.000000,      1.044848,    157.830429,      1.359132,      0.000000,  86276.515625
     2.542370,      0.300000,      0.000000,      1.048062,    155.597122,      1.919180,      0.000000,  86646.890625
     2.711860,      0.300000,      0.000000,      1.052236,    152.555588,      2.823190,      0.000000,  87131.171875
     2.881360,      0.300000,      0.000000,      1.058672,    147.922256,      4.445975,      0.000000,  87875.523438
     3.050850,      0.300720,      0.000000,      1.066549,    141.702942,      9.464101,      0.000000,  88793.093750
     3.220340,      0.313338,      0.000000,      1.069033,    138.704910,     18.193369,      0.000000,  89081.445312
     3.389830,      0.340878,      0.000000,      1.065280,    140.169983,     27.847372,      0.000000,  88644.234375
     3.559320,      0.381396,      0.000000,      1.055643,    145.364563,     37.193687,      0.000000,  87523.117188
     3.728810,      0.432030,      0.000000,      1.041092,    153.866837,     45.640366,      0.000000,  85838.578125
     3.898310,      0.489207,      0.000000,      1.020867,    165.782166,     52.657684,      0.000000,  83511.976562
     4.067800,      0.548913,      0.000000,      0.995352,    180.975525,     57.356945,      0.000000,  80603.953125
     4.237290,      0.606936,      0.000000,      0.964312,    199.300232,     58.809444,      0.000000,  77104.734375
     4.406780,      0.659181,      0.000000,      0.929047,    219.929703,     55.786037,      0.000000,  73184.648438
     4.576270,      0.701976,      0.000000,      0.891554,    241.397873,     47.240910,      0.000000,  69080.796875
     4.745760,      0.732297,      0.000000,      0.856688,    260.880524,     32.420715,      0.000000,  65327.996094
     4.915250,      0.748011,      0.000000,      0.833035,    273.686462,     11.761580,      0.000000,  62819.433594
     5.084750,      0.748011,      0.000000,      0.832730,    273.808716,    -11.594786,      0.000000,  62793.628906
     5.254240,      0.732297,      0.000000,      0.856194,    261.036011,    -32.331390,      0.000000,  65288.996094
     5.423730,      0.701976,      0.000000,      0.891218,    241.472153,    -47.139580,      0.000000,  69060.046875
     5.593220,      0.659181,      0.000000,      0.928582,    219.919617,    -55.703007,      0.000000,  73147.304688
     5.762710,      0.606936,      0.000000,      0.963966,    199.079941,    -58.667274,      0.000000,  77082.296875
     5.932200,      0.548913,      0.000000,      0.994843,    180.559982,    -57.194546,      0.000000,  80567.851562
     6.101700,      0.489207,      0.000000,      1.020436,    165.133408,    -52.413841,      0.000000,  83494.125000
     6.271190,      0.432030,      0.000000,      1.040463,    153.050079,    -45.410534,      0.000000,  85804.492188
     6.440680,      0.381396,      0.000000,      1.055118,    144.410583,    -36.925201,      0.000000,  87508.085938
     6.610170,      0.340878,      0.000000,      1.064482,    139.161926,    -27.655888,      0.000000,  88603.757812
     6.779660,      0.313338,      0.000000,      1.068433,    137.611420,    -18.029963,      0.000000,  89067.179688
     6.949150,      0.300720,      0.000000,      1.065702,    140.604172,     -9.326378,      0.000000,  88749.382812
     7.118640,      0.300000,      0.000000,      1.057979,    146.956238,     -4.545362,      0.000000,  87843.671875
     7.288140,      0.300000,      0.000000,      1.051838,    151.719589,     -2.823063,      0.000000,  87128.773438
     7.457630,      0.300000,      0.000000,      1.047405,    154.932541,     -1.927088,      0.000000,  86610.937500
     7.627120,      0.300000,      0.000000,      1.044413,    157.209641,     -1.380311,      0.000000,  86263.875000
     7.796610,      0.300000,      0.000000,      1.041925,    158.958542,     -1.006943,      0.000000,  85974.726562
     7.966100,      0.300000,      0.000000,      1.040243,    160.224548,     -0.776413,      0.000000,  85779.984375
     8.135590,      0.300000,      0.000000,      1.038783,    161.248703,     -0.582749,      0.000000,  85610.398438
     8.305090,      0.300000,      0.000000,      1.037747,    162.007736,     -0.463034,      0.000000,  85490.750000
     8.474580,      0.300000,      0.000000,      1.036860,    162.637573,     -0.357645,      0.000000,  85387.898438
     8.644070,      0.300000,      0.000000,      1.036191,    163.115936,     -0.289225,      0.000000,  85310.718750
     8.813560,      0.300000,      0.000000,      1.035634,    163.518723,     -0.226257,      0.000000,  85245.648438
     8.983050,      0.300000,      0.000000,      1.035188,    163.826721,     -0.183507,      0.000000,  85194.601562
     9.152540,      0.300000,      0.000000,      1.034809,    164.099762,     -0.149051,      0.000000,  85149.406250
     9.322030,      0.300000,      0.000000,      1.034519,    164.294357,     -0.121810,      0.000000,  85117.367188
     9.491530,      0.300000,      0.000000,      1.034245,    164.495743,     -0.093613,      0.000000,  85083.312500
     9.661020,      0.300000,      0.000000,      1.034067,    164.601135,     -0.092443,      0.000000,  85065.773438
     9.830510,      0.300000,      0.000000,      1.033923,    164.722000,      0.067148,      0.000000,  85044.820312
    10.000000,      0.300000,      0.000000,      1.033725,    164.981979,      0.268012,      0.000000,  85017.476562
     0.000000,      0.450000,      0.000000,      1.034788,    164.869446,      0.064461,      0.000000,  85110.859375
     0.169490,      0.450000,      0.000000,      1.034804,    164.706802,      0.038599,      0.000000,  85116.906250
     0.338980,      0.450000,      0.000000,      1.034907,    164.655945,      0.078888,      0.000000,  85128.796875
     0.508470,      0.450000,      0.000000,      1.035026,    164.574463,      0.125279,      0.000000,  85142.835938
     0.677970,      0.450000,      0.000000,      1.035233,    164.457748,      0.177852,      0.000000,  85166.359375
     0.847460,      0.450000,      0.000000,      1.035462,    164.297501,      0.242608,      0.000000,  85193.835938
     1.016950,      0.450000,      0.000000,      1.035801,    164.093872,      0.319909,      0.000000,  85231.835938
     1.186440,      0.450000,      0.000000,      1.036183,    163.828125,      0.414774,      0.000000,  85276.265625
     1.355930,      0.450000,      0.000000,      1.036704,    163.495163,      0.536576,      0.000000,  85335.781250
     1.525420,      0.450000,      0.000000,      1.037312,    163.067871,      0.686851,      0.000000,  85406.078125
     1.694920,      0.450000,      0.000000,      1.038113,    162.530701,      0.887034,      0.000000,  85498.890625
     1.864410,      0.450000,      0.000000,      1.039096,    161.838745,      1.139916,      0.000000,  85612.054688
     2.033900,      0.450000,      0.000000,      1.040382,    160.958435,      1.487681,      0.000000,  85760.687500
     2.203390,      0.450000,      0.000000,      1.041987,    159.815582,      1.951727,      0.000000,  85945.664062
     2.372880,      0.450000,      0.000000,      1.044115,    158.332489,      2.618308,      0.000000,  86191.664062
     2.542370,      0.450000,      0.000000,      1.046800,    156.378601,      3.612889,      0.000000,  86501.960938
     2.711860,      0.450000,      0.000000,      1.050392,    153.794601,      5.122924,      0.000000,  86917.359375
     2.881360,      0.450000,      0.000000,      1.054835,    150.346878,      7.977219,      0.000000,  87433.257812
     3.050850,      0.450680,      0.000000,      1.058374,    147.499878,     12.714551,      0.000000,  87842.437500
     3.220340,      0.462597,      0.000000,      1.059210,    146.269058,     19.383139,      0.000000,  87939.117188
     3.389830,      0.488607,      0.000000,      1.055076,    148.054352,     27.194056,      0.000000,  87458.984375
     3.559320,      0.526874,      0.000000,      1.046113,    153.050461,     34.857433,      0.000000,  86420.984375
     3.728810,      0.574695,      0.000000,      1.032340,    161.083588,     41.689022,      0.000000,  84830.867188
     3.898310,      0.628695,      0.000000,      1.014015,    172.007599,     46.994350,      0.000000,  82730.742188
     4.067800,      0.685084,      0.000000,      0.991335,    185.580475,     50.088203,      0.000000,  80149.429688
     4.237290,      0.739884,      0.000000,      0.964915,    201.289993,     50.159935,      0.000000,  77175.765625
     4.406780,      0.789226,      0.000000,      0.936139,    218.227188,     46.488029,      0.000000,  73970.562500
     4.576270,      0.829644,      0.000000,      0.907065,    235.015137,     38.466282,      0.000000,  70774.304688
     4.745760,      0.858280,      0.000000,      0.881652,    249.440582,     25.856211,      0.000000,  68011.460938
     4.915250,      0.873122,      0.000000,      0.865665,    258.334839,      9.237990,      0.000000,  66287.320312
     5.084750,      0.873122,      0.000000,      0.865703,    258.342346,     -9.095953,      0.000000,  66285.289062
     5.254240,      0.858280,      0.000000,      0.881479,    249.534698,    -25.751520,      0.000000,  67983.648438
     5.423730,      0.829644,      0.000000,      0.907053,    235.083023,    -38.389278,      0.000000,  70765.523438
     5.593220,      0.789226,      0.000000,      0.935943,    218.424377,    -46.423431,      0.000000,  73948.968750
     5.762710,      0.739884,      0.000000,      0.964797,    201.550079,    -50.147560,      0.000000,  77164.968750
     5.932200,      0.685084,      0.000000,      0.991147,    185.926361,    -50.086170,      0.000000,  80132.617188
     6.101700,      0.628695,      0.000000,      1.013915,    172.341675,    -47.015213,      0.000000,  82720.515625
     6.271190,      0.574695,      0.000000,      1.032262,    161.381683,    -41.682392,      0.000000,  84824.734375
     6.440680,      0.526874,      0.000000,      1.046041,    153.275253,    -34.856186,      0.000000,  86413.578125
     6.610170,      0.488607,      0.000000,      1.055057,    148.248047,    -27.173067,      0.000000,  87456.929688
     6.779660,      0.462597,      0.000000,      1.059131,    146.485580,    -19.379934,      0.000000,  87926.132812
     6.949150,      0.450680,      0.000000,      1.058305,    147.928802,    -12.754986,      0.000000,  87829.851562
     7.118640,      0.450000,      0.000000,      1.054732,    150.818283,     -8.035002,      0.000000,  87415.023438
     7.288140,      0.450000,      0.000000,      1.050259,    154.112198,     -5.181746,      0.000000,  86899.804688
     7.457630,      0.450000,      0.000000,      1.046748,    156.695038,     -3.643902,      0.000000,  86492.406250
     7.627120,      0.450000,      0.000000,      1.043917,    158.620270,     -2.636601,      0.000000,  86167.398438
