  x,y,z,rho,u,v,w,p
   -10.000000,      0.080000,      0.000000,      0.757513,    307.681976,      0.000000,      0.000000,  54999.992188
    -9.273458,      0.080000,      0.000000,      0.754499,    308.941376,      0.000000,      0.000000,  54680.660156
    -8.562617,      0.080000,      0.000000,      0.751484,    310.200775,      0.000000,      0.000000,  54362.132812
    -7.868043,      0.080000,      0.000000,      0.748470,    311.460175,      0.000000,      0.000000,  54044.398438
    -7.190316,      0.080000,      0.000000,      0.745455,    312.719543,      0.000000,      0.000000,  53727.476562
    -6.530121,      0.080000,      0.000000,      0.742440,    313.978943,      0.000000,      0.000000,  53411.347656
    -5.888193,      0.080000,      0.000000,      0.739426,    315.238342,      0.000000,      0.000000,  53096.035156
    -5.265356,      0.080000,      0.000000,      0.736411,    316.497742,      0.000000,      0.000000,  52781.507812
    -4.662569,      0.080000,      0.000000,      0.733397,    317.757141,      0.000000,      0.000000,  52467.796875
    -4.080891,      0.080000,      0.000000,      0.730382,    319.016510,      0.167218,      0.000000,  52154.882812
    -3.521577,      0.080599,      0.000000,      0.727367,    320.275940,      0.111314,      0.000000,  51842.773438
    -2.986087,      0.080986,      0.000000,      0.724353,    321.535309,     -0.045968,      0.000000,  51531.472656
    -2.476174,      0.080830,      0.000000,      0.721338,    322.794617,     -0.248378,      0.000000,  51220.960938
    -1.993986,      0.080012,      0.000000,      0.718324,    324.054077,     -0.132886,      0.000000,  50911.257812
    -1.542227,      0.079588,      0.000000,      0.715309,    325.312286,     -0.890113,      0.000000,  50602.359375
    -1.124435,      0.076670,      0.000000,      0.712294,    326.566589,      2.028981,      0.000000,  50294.265625
    -0.745565,      0.082101,      0.000000,      0.709280,    327.639435,    -11.243258,      0.000000,  49986.972656
    -0.413131,      0.053829,      0.000000,      0.706265,    327.648224,    -30.789427,      0.000000,  49680.476562
    -0.140662,     -0.017147,      0.000000,      0.703251,    327.669739,    -42.004311,      0.000000,  49374.796875
     0.030303,     -0.096990,      0.000000,      0.700236,    325.571320,    -62.998569,      0.000000,  49069.902344
     0.207859,     -0.218615,      0.000000,      0.697221,    320.515411,    -89.845627,      0.000000,  48765.820312
