  x,y,z,rho,u,v,w,p
     0.000000,      0.133333,      0.000000,      1.052068,    152.657532,      0.047971,      0.000000,  87111.921875
     0.151520,      0.133333,      0.000000,      1.052078,    152.568253,      0.058328,      0.000000,  87113.031250
     0.303030,      0.133333,      0.000000,      1.052209,    152.366394,      0.065868,      0.000000,  87128.210938
     0.454550,      0.133333,      0.000000,      1.052543,    152.035370,      0.066995,      0.000000,  87166.960938
     0.606060,      0.133333,      0.000000,      1.053051,    151.575012,      0.072848,      0.000000,  87225.882812
     0.757580,      0.133333,      0.000000,      1.053733,    150.969452,      0.085974,      0.000000,  87305.039062
     0.909090,      0.133333,      0.000000,      1.054614,    150.190460,      0.106499,      0.000000,  87407.437500
     1.060610,      0.133333,      0.000000,      1.055732,    149.198608,      0.136273,      0.000000,  87537.531250
     1.212120,      0.133333,      0.000000,      1.057137,    147.937317,      0.180800,      0.000000,  87700.976562
     1.363640,      0.133333,      0.000000,      1.058894,    146.322113,      0.254383,      0.000000,  87905.882812
     1.515150,      0.133333,      0.000000,      1.061109,    144.222717,      0.371091,      0.000000,  88164.554688
     1.666670,      0.133333,      0.000000,      1.063980,    141.476959,      0.524409,      0.000000,  88500.929688
     1.818180,      0.133333,      0.000000,      1.067239,    137.641418,      0.959223,      0.000000,  88885.695312
     1.969700,      0.133333,      0.000000,      1.071756,    132.145264,      2.761190,      0.000000,  89422.789062
     2.121210,      0.136688,      0.000000,      1.080323,    126.575005,      7.274430,      0.000000,  90437.960938
     2.272730,      0.150202,      0.000000,      1.087465,    123.917961,     14.297827,      0.000000,  91290.734375
     2.424240,      0.173576,      0.000000,      1.087589,    124.530411,     22.304375,      0.000000,  91323.507812
     2.575760,      0.205988,      0.000000,      1.083559,    127.199516,     30.104816,      0.000000,  90869.218750
     2.727270,      0.246250,      0.000000,      1.077094,    131.470703,     37.348244,      0.000000,  90132.007812
     2.878790,      0.292911,      0.000000,      1.068310,    137.345963,     43.992268,      0.000000,  89129.453125
     3.030300,      0.344279,      0.000000,      1.056945,    144.896347,     49.927338,      0.000000,  87835.054688
     3.181820,      0.398519,      0.000000,      1.042745,    154.166824,     54.912823,      0.000000,  86223.890625
     3.333330,      0.453648,      0.000000,      1.025533,    165.142807,     58.606983,      0.000000,  84281.460938
     3.484850,      0.507685,      0.000000,      1.005268,    177.711472,     60.592094,      0.000000,  82009.312500
     3.636360,      0.558667,      0.000000,      0.982096,    191.596924,     60.397579,      0.000000,  79430.960938
     3.787880,      0.604757,      0.000000,      0.956561,    206.280975,     57.543106,      0.000000,  76613.632812
     3.939390,      0.644294,      0.000000,      0.929757,    220.928894,     51.613647,      0.000000,  73682.976562
     4.090910,      0.675846,      0.000000,      0.903506,    234.339371,     42.372059,      0.000000,  70840.039062
     4.242420,      0.698273,      0.000000,      0.880394,    244.980240,     29.904692,      0.000000,  68362.460938
     4.393940,      0.710762,      0.000000,      0.863459,    251.185944,     14.774776,      0.000000,  66572.031250
     4.545450,      0.712860,      0.000000,      0.855514,    251.589828,     -1.886219,      0.000000,  65766.179688
     4.696970,      0.704498,      0.000000,      0.858069,    245.706390,    -18.466928,      0.000000,  66107.031250
     4.848480,      0.685967,      0.000000,      0.870575,    234.313080,    -33.233284,      0.000000,  67540.804688
     5.000000,      0.657953,      0.000000,      0.890455,    219.237808,    -44.835144,      0.000000,  69795.148438
     5.151520,      0.621452,      0.000000,      0.914151,    202.595245,    -52.656155,      0.000000,  72487.304688
     5.303030,      0.577787,      0.000000,      0.938545,    186.084625,    -56.797249,      0.000000,  75275.250000
     5.454550,      0.528545,      0.000000,      0.961586,    170.745712,    -57.805332,      0.000000,  77928.234375
     5.606060,      0.475504,      0.000000,      0.982267,    157.070938,    -56.369675,      0.000000,  80327.335938
     5.757580,      0.420569,      0.000000,      1.000270,    145.239075,    -53.127090,      0.000000,  82430.031250
     5.909090,      0.365739,      0.000000,      1.015570,    135.283585,    -48.594616,      0.000000,  84227.445312
     6.060610,      0.312988,      0.000000,      1.028262,    127.162956,    -43.168877,      0.000000,  85725.804688
     6.212120,      0.264230,      0.000000,      1.038520,    120.810440,    -37.142208,      0.000000,  86942.195312
     6.363640,      0.221223,      0.000000,      1.046508,    116.173615,    -30.722540,      0.000000,  87893.367188
     6.515150,      0.185514,      0.000000,      1.052358,    113.254005,    -24.036522,      0.000000,  88593.976562
     6.666670,      0.158409,      0.000000,      1.056061,    112.126122,    -17.129011,      0.000000,  89042.835938
     6.818180,      0.140873,      0.000000,      1.057965,    113.190681,    -10.238465,      0.000000,  89281.117188
     6.969700,      0.133546,      0.000000,      1.057292,    117.125572,     -4.361231,      0.000000,  89216.445312
     7.121210,      0.133333,      0.000000,      1.050714,    122.730743,     -0.774841,      0.000000,  88452.054688
     7.272730,      0.133333,      0.000000,      1.042438,    127.217331,      0.421040,      0.000000,  87481.976562
     7.424240,      0.133333,      0.000000,      1.038055,    129.871613,      0.380298,      0.000000,  86968.046875
     7.575760,      0.133333,      0.000000,      1.035667,    131.701614,      0.155939,      0.000000,  86687.882812
     7.727270,      0.133333,      0.000000,      1.033824,    133.196198,      0.052696,      0.000000,  86471.593750
     7.878790,      0.133333,      0.000000,      1.032234,    134.450562,      0.026045,      0.000000,  86284.835938
     8.030300,      0.133333,      0.000000,      1.030888,    135.497604,      0.016370,      0.000000,  86126.656250
     8.181820,      0.133333,      0.000000,      1.029766,    136.375824,      0.007339,      0.000000,  85994.531250
     8.333330,      0.133333,      0.000000,      1.028823,    137.120605,     -0.000544,      0.000000,  85883.398438
     8.484850,      0.133333,      0.000000,      1.028022,    137.758667,     -0.006230,      0.000000,  85788.812500
     8.636360,      0.133333,      0.000000,      1.027335,    138.309280,     -0.010106,      0.000000,  85707.617188
     8.787880,      0.133333,      0.000000,      1.026743,    138.787399,     -0.012826,      0.000000,  85637.492188
